Landmark,Road,Landmark_road,Lat,Lon
EABL,Thika Road,EABL Thika Road,-1.233029,36.87516
EABL,Thika Superhighway,EABL Thika Superhighway,-1.233029,36.87516
EABL,Thika Super Highway,EABL Thika Super Highway,-1.233029,36.87516
EABL,Thika Highway,EABL Thika Highway,-1.233029,36.87516
EABL,Thikard,EABL Thikard,-1.233029,36.87516
Easton Apartments,Jogoo Rd,Easton Apartments Jogoo Rd,-1.2978099,36.8702245
Easton apartments,Jogoo Rd,Easton apartments Jogoo Rd,-1.297571,36.871261
Easton Apartments,Jogoo Road,Easton Apartments Jogoo Road,-1.2978099,36.8702245
Easton apartments,Jogoo Road,Easton apartments Jogoo Road,-1.297571,36.871261
Eden Square,Chiromo,Eden Square Chiromo,-1.268691,36.806906
Eden Square,Chiromo Lane,Eden Square Chiromo Lane,-1.268691,36.806906
Eden Square,Chiromo Ln,Eden Square Chiromo Ln,-1.268691,36.806906
Edenville,Kiambu Rd,Edenville Kiambu Rd,-1.190052,36.83956
Edenville,Kiambu Road,Edenville Kiambu Road,-1.190052,36.83956
Egerton University,,Egerton University ,-0.369922,35.935228
Eka Hotel,Mombasa Rd,Eka Hotel Mombasa Rd,-1.323662,36.844816
Eka Hotel,Mombasa Road,Eka Hotel Mombasa Road,-1.323662,36.844816
Eka Hotel,Msa Rd,Eka Hotel Msa Rd,-1.323662,36.844816
Eka Hotel,Msa Road,Eka Hotel Msa Road,-1.323662,36.844816
eldoret catholic university,,eldoret catholic university ,0.483961,35.266618
Elgeyo Marakwet junction,Argwings Kodhek Rd,Elgeyo Marakwet junction Argwings Kodhek Rd,-1.2925825,36.7791729
Elgeyo Marakwet junction,Argwings Kodhek Road,Elgeyo Marakwet junction Argwings Kodhek Road,-1.2925825,36.7791729
Elgeyo Marakwet junction,Argwings Kodhek,Elgeyo Marakwet junction Argwings Kodhek,-1.2925825,36.7791729
Emali,Mombasa Nairobi Highway,Emali Mombasa Nairobi Highway,-2.079768,37.473636
Engen parklands,Parklands Rd,Engen parklands Parklands Rd,-1.267519,36.818229
Engen argwings,Argwings Kodhek Rd,Engen argwings Argwings Kodhek Rd,-1.292285,36.784982
engen arwings,,engen arwings ,-1.292285,36.784982
,, ,,
Eni stage,Waiyaki Way,Eni stage Waiyaki Way,-1.264058,36.757534
enter South B,Mombasa Rd,enter South B Mombasa Rd,-1.318532,36.838492
enter South B,Mombasa Road,enter South B Mombasa Road,-1.318532,36.838492
enter South B,Msa Rd,enter South B Msa Rd,-1.318532,36.838492
enter South B,Msa Road,enter South B Msa Road,-1.318532,36.838492
Enterprise roundabout,Lusaka Rd,Enterprise roundabout Lusaka Rd,-1.29991,36.836611
entry Thika,Eastern Bypass,entry Thika Eastern Bypass,-1.165246,36.958641
Equity Moi Ave,Moi Ave,Equity Moi Ave Moi Ave,-1.287367,36.837304
Equity Moi Avenue,Moi Avenue,Equity Moi Avenue Moi Avenue,-1.287367,36.837304
Equity opp Airtel,Mombasa Rd,Equity opp Airtel Mombasa Rd,-1.326343,36.849439
Equity opp Airtel,Mombasa Road,Equity opp Airtel Mombasa Road,-1.326343,36.849439
Equity opp Airtel,Msa Rd,Equity opp Airtel Msa Rd,-1.326343,36.849439
Equity opp Airtel,Msa Road,Equity opp Airtel Msa Road,-1.326343,36.849439
Ero-Ekule school,Narok Maimahiu highway,Ero-Ekule school Narok Maimahiu highway,-1.107256,36.005376
Ero-Ekule school,Narok Mai Mahiu Road,Ero-Ekule school Narok Mai Mahiu Road,-1.107256,36.005376
Ero-Ekule school,Narok Mai Mahiu Rd,Ero-Ekule school Narok Mai Mahiu Rd,-1.107256,36.005376
Ero-Ekule school,Narok Mai Mahiu Highway,Ero-Ekule school Narok Mai Mahiu Highway,-1.107256,36.005376
Ero-Ekule school,Narok Maimahiu Rd,Ero-Ekule school Narok Maimahiu Rd,-1.107256,36.005376
Ero-Ekule school,Narok Maimahiu Road,Ero-Ekule school Narok Maimahiu Road,-1.107256,36.005376
Evergreen Center,Kiambu Rd,Evergreen Center Kiambu Rd,-1.221855,36.836112
Evergreen Center,Kiambu Road,Evergreen Center Kiambu Road,-1.221855,36.836112
,, ,,
,, ,,
,, ,,
Serena exit,Kenyatta Ave,Serena exit Kenyatta Ave,-1.287659,36.814929
Serena exit,Kenyatta Avenue,Serena exit Kenyatta Avenue,-1.287659,36.814929
Farmers Choice roundabout,Bypass,Farmers Choice roundabout Bypass,-1.185532,36.906977
Fatima Hospital,Magadi Rd,Fatima Hospital Magadi Rd,-1.396359,36.744767
Fatima Hospital,Magadi Road,Fatima Hospital Magadi Road,-1.396359,36.744767
fedha junction,,fedha junction ,-1.314481,36.894225
